Ticker,Name,AssetClass,Asset SubClass
VB,Vanguard Small Cap Index,Equity,
VBK,Vanguard Small Cap Growth Index,Equity,
SDY,SPDR S&P Dividend,Equity,
EXI,iShares S&P Global Industrials,Equity,
IWZ,iShares Russell 3000 Growth Index,Equity,
JKG,iShares Morningstar Mid Core Index,Equity,
XME,SPDR S&P Metals & Mining,Commodity,
VO,Vanguard Mid Capitalization Index Ins,Equity,
RWL,RevenueShares Large Cap,Equity,
MDY,MidCap SPDRs,Equity,
BVL,ELEMENTS BG Large Cap ETN,Equity,
IIH,Internet Infrastructure HOLDRs,Equity,
FYX,First Trust Small Cap Core AlphaDEX,Equity,
BVT,ELEMENTS BG Total Market ETN,Equity,
PSL,PowerShares Dynamic Consumer Staples,Equity,
OTP,Claymore/Ocean Tomo Patent,Equity,
EPS,WisdomTree Earnings 500,Equity,
DOG,Short Dow30 ProShares,Equity,
VIG,Vanguard Dividend Appreciation ETF,Equity,
UAG,E-TRACS UBS Bloomberg CMCI Agri ETN,Commodity,
FUD,E-TRACS UBS Bloomberg CMCI Food ETN,Commodity,
KIE,SPDR KBW Insurance,Equity,
VDC,Vanguard Consumer Staples ETF,Equity,
DON,WisdomTree MidCap Dividend,Equity,
VXF,Vanguard Extended Market Idx,Equity,
FPX,First Trust US IPO Index,Equity,
PWND,PowerShares Global Wind Energy,Equity,
JKE,iShares Morningstar Large Growth Index,Equity,
FEX,First Trust Large Cap Core AlphaDEX,Equity,
RYU,Rydex S&P Equal Weight Utilities,Equity,
TDN,TDX Independence 2030 ETF,Diversified,
EZY,WisdomTree LargeCap Value,Equity,
IGE,iShares S&P North Amer Natural Resources,Equity,
TMW,SPDR Dow Jones Total Market,Equity,
XLG,Rydex Russell Top 50,Equity,
VBR,Vanguard Small Cap Value Index,Equity,
IWR,iShares Russell Midcap Index,Equity,
RTH,Retail HOLDRs,Equity,
BWV,iPath CBOE S&P 500 BuyWrite Index ETN,Absolute,
SZK,UltraShort Consumer Goods ProShares,Equity,
DIA,DIAMONDS Trust Series 1,Equity,
EWO,iShares MSCI Austria Investable Mkt Idx,Equity,
VUG,Vanguard Growth Index,Equity,
FVD,First Trust Value Line Dividend Index,Equity,
MGK,Vanguard Mega Cap 300 Gr Index ETF,Equity,
FDL,First Trust Morningstar Div Leaders Idx,Equity,
VV,Vanguard Large Cap ETF,Equity,
GWO,ELEMENTS CS Global Warming ETN,Equity,
IWB,iShares Russell 1000 Index,Equity,
VTI,Vanguard Total Stock Mkt Idx,Equity,
IYY,iShares Dow Jones U.S. Index,Equity,
SH,Short S&P500 ProShares,Equity,
JKK,iShares Morningstar Small Growth Index,Equity,
IEO,iShares Dow Jones US Oil & Gas Ex Index,Equity,
KLD,iShares KLD Select Social Index,Equity,
IWV,iShares Russell 3000 Index,Equity,
IXG,iShares S&P Global Financials,Equity,
UEM,Claymore U.S.-1-The Capital Markets Idx,Equity,
XBI,SPDR S&P Biotech,Equity,
PWP,PowerShares Dynamic Mid Cap Value,Equity,
PTO,PowerShares Autonomic Gr NFA Glbl Asset,Equity,
VTV,Vanguard Value Index,Equity,
WMH,Wireless HOLDRs,Equity,
MGC,Vanguard Mega Cap 300 Index ETF,Equity,
PID,PowerShares Intl Dividend Achievers,Equity,
VPU,Vanguard Utilities ETF,Equity,
IYZ,iShares Dow Jones US Telecom,Equity,
FDD,First Trust DJ STOXX Select Dividend 30,Equity,
VOT,Vanguard Mid-Cap Growth ETF,Equity,
PNXQ,PowerShares NXQ,Equity,
ISI,iShares S&P 1500 Index,Equity,
XLP,Consumer Staples Select Sector SPDR,Equity,
XLU,Utilities Select Sector SPDR,Equity,
FFR,First Trust FTSE EPRA/NAREIT Glb Real Es,Real Estate,
IVV,iShares S&P 500 Index,Equity,
IWO,iShares Russell 2000 Growth Index,Equity,
MGV,Vanguard Mega Cap 300 Value Index ETF,Equity,
OEF,iShares S&P 100 Index,Equity,
PBE,PowerShares Dynamic Biotech & Genome,Equity,
DEF,Claymore/Sabrient Defensive Equity,Equity,
VYM,Vanguard High Dividend Yield Indx ETF,Equity,
XLB,Materials Select Sector SPDR,Equity,
ELR,SPDR Dow Jones Large Cap,Equity,
ROM,Ultra Technology ProShares,Leveraged,
IWS,iShares Russell Midcap Value Index,Equity,
FXR,First Trust Indust/Producer Dur AlphaDEX,Equity,
SLX,Market Vectors Steel ETF,Commodity,
PJG,PowerShares Dynamic Mid Cap,Equity,
EEH,ELEMENTS SPECTRUM Lg Cap U.S. Sector ETN,Equity,
JKF,iShares Morningstar Large Value Index,Equity,
FAD,First Trust Multi Cap Growth AlphaDEX,Equity,
SPY,SPDRs,Equity,
UBM,E-TRACS UBS Bloomberg CMCI Ind Metal ETN,Commodity,
IDU,iShares Dow Jones US Utilities,Equity,
PPA,PowerShares Aerospace & Defense,Equity,
CSD,Claymore/Beacon Spin-Off,Equity,
FIW,First Trust ISE Water,Equity,
FTC,First Trust Large Cap Gr Opp AlphaDEX,Equity,
JO,iPath DJ AIG Coffee TR Sub-Idx ETN,Commodity,
IYK,iShares Dow Jones US Consumer Goods,Equity,
PBP,PowerShares S&P 500 BuyWrite,Absolute,
JKH,iShares Morningstar Mid Growth Index,Equity,
USD,Ultra Semiconductor ProShares,Leveraged,
SBB,Short S&P SmallCap600 ProShares,Equity,
MZG,Claymore/Morningstar Mfg Super Sector,Equity,
PBJ,PowerShares Dynamic Food & Beverage,Equity,
JKD,iShares Morningstar Large Core Index,Equity,
IYM,iShares Dow Jones US Basic Materials,Equity,
DES,WisdomTree SmallCap Dividend,Equity,
IWD,iShares Russell 1000 Value Index,Equity,
IWW,iShares Russell 3000 Value Index,Equity,
VAW,Vanguard Materials ETF,Equity,
PTE,PowerShares Dynamic Telecom & Wireless,Equity,
PJF,PowerShares Dynamic Large Cap,Equity,
IWM,iShares Russell 2000 Index,Equity,
DOD,ELEMENTS DJ High Yield Select 10 ETN,Equity,
PHO,PowerShares Water Resources,Equity,
DTD,WisdomTree Total Dividend,Equity,
TTH,Telecom HOLDRs,Equity,
RGI,Rydex S&P Equal Weight Industrials,Equity,
EVX,Market Vectors Environmental Svcs ETF,Equity,
IWC,iShares Russell Microcap Index,Equity,
RYE,Rydex S&P Equal Weight Energy,Equity,
MZO,Claymore/Morningstar Svc Super Sector,Equity,
DLN,WisdomTree LargeCap Dividend,Equity,
NY,iShares NYSE 100 Index,Equity,
BAL,iPath DJ AIG Cotton TR Sub-Idx ETN,Commodity,
PIC,PowerShares Dynamic Insurance,Equity,
EWK,iShares MSCI Belgium Investable Mkt Idx,Equity,
ELV,SPDR Dow Jones Large Cap Value,Equity,
JJM,iPath DJ AIG Ind Metals TR Sub-Idx ETN,Commodity,
IJS,iShares S&P SmallCap 600 Value Index,Equity,
GCC,GreenHaven Continuous Commodity Index,Commodity,
FXN,First Trust Energy AlphaDEX,Equity,
PZD,PowerShares Cleantech,Equity,
PYZ,PowerShares Dynamic Basic Materials,Equity,
ITA,iShares Dow Jones US Aerospace & Defense,Equity,
IVE,iShares S&P 500 Value Index,Equity,
FXM,CurrencyShares Mexican Peso Trust,Currency,
IWN,iShares Russell 2000 Value Index,Equity,
IJT,iShares S&P SmallCap 600 Growth,Equity,
IJR,iShares S&P SmallCap 600 Index,Equity,
PUI,PowerShares Dynamic Utilities,Equity,
IYJ,iShares Dow Jones US Industrial,Equity,
PWB,PowerShares Dynamic Large Cap Growth,Equity,
PWC,PowerShares Dynamic Market,Equity,
FDM,First Trust Dow Jones Select MicroCap,Equity,
IYE,iShares Dow Jones US Energy,Equity,
DHS,WisdomTree Equity Income,Equity,
PDP,PowerShares DWA Technical Leaders,Equity,
FUE,ELEMENTS MLCX Biofuels Index TR ETN,Equity,
XLE,Energy Select Sector SPDR,Equity,
VDE,Vanguard Energy ETF,Equity,
XLI,Industrial Select Sector SPDR,Equity,
XOP,SPDR S&P Oil & Gas Exploration & Prod,Equity,
PWO,PowerShares Dynamic OTC,Equity,
FCG,First Trust ISE-Revere Natural Gas,Equity,
DTN,WisdomTree Dividend ex-Financials,Equity,
RHO,Rydex Inverse 2x S&P Select Sector Hlth,Inverse,
PFM,PowerShares Dividend Achievers,Equity,
RWO,SPDR Dow Jones Global Real Estate,Real Estate,
AFK,Market Vectors Africa ETF,Equity,
GRI,Cohen & Steers Global Realty Majors ETF,Real Estate,
IHI,iShares Dow Jones US Medical Devices,Equity,
RTG,Rydex 2x S&P Select Sector Technology,Leveraged,
VIS,Vanguard Industrials ETF,Equity,
GULF,WisdomTree Middle East Dividend,Equity,
UTH,Utilities HOLDRs,Equity,
RWM,Short Russell2000 ProShares,Equity,
PST,UltraShort 7-10 Year Treasury ProShares,Bond,
DRR,Market Vectors Double Short Euro ETN,Inverse,
PXN,PowerShares Lux Nanotech,Equity,
IAK,iShares Dow Jones US Insurance,Equity,
MYY,Short MidCap400 ProShares,Equity,
IFEU,iShares FTSE EPRA/NAREIT Dev EU Idx,Real Estate,
PWJ,PowerShares Dynamic Mid Cap Growth,Equity,
PIQ,PowerShares Dynamic MagniQuant,Equity,
PBD,PowerShares Global Clean Energy,Equity,
DDG,Short Oil & Gas ProShares,Inverse,
JJA,iPath DJ AIG Agriculture TR Sub-Idx ETN,Commodity,
PTH,PowerShares Dynamic Healthcare,Equity,
BDG,PowerShares DB Base Metals Long ETN,Commodity,
IYT,iShares Dow Jones Transportation Average,Equity,
PKB,PowerShares Dynamic Building & Construct,Equity,
FAN,First Trust Global Wind Energy,Equity,
ENY,Claymore/SWM Canadian Energy Income,Equity,
DBA,PowerShares DB Agriculture,Commodity,
JJT,iPath DJ AIG Tin TR Sub-Idx ETN,Commodity,
UCI,E-TRACS UBS Bloomberg CMCI ETN,Equity,
QLD,Ultra QQQ ProShares,Leveraged,
PSQ,Short QQQ ProShares,Equity,
RYF,Rydex S&P Equal Weight Financials,Equity,
AGF,PowerShares DB Agriculture Long ETN,Commodity,
RXD,UltraShort Health Care ProShares,Equity,
XES,SPDR S&P Oil & Gas Equipment & Services,Equity,
PWY,PowerShares Dynamic Small Cap Value,Equity,
XHB,SPDR S&P Homebuilders,Equity,
JFT,KEYnotes First Trust Enh 130/30 LgCp ETN,Equity,
IYG,iShares Dow Jones US Financial Services,Equity,
IYF,iShares Dow Jones US Financial Sector,Equity,
PRN,PowerShares Dynamic Industrials,Equity,
DVY,iShares Dow Jones Select Dividend Index,Equity,
PZJ,PowerShares Zacks Small Cap,Equity,
TBT,UltraShort 20+ Year Treasury ProShares,Bond,
PWT,PowerShares Dynamic Small Cap Growth,Equity,
WOOD,iShares S&P Global Timber & Forestry Idx,Equity,
PQZ,PowerShares Active Alpha Multi-Cap,Equity,
VFH,Vanguard Financials ETF,Equity,
PXI,PowerShares Dynamic Energy,Equity,
PJM,PowerShares Dynamic Small Cap,Equity,
PXE,PowerShares Dynamic Energy Explor & Prod,Equity,
IFNA,iShares FTSE EPRA/NAREIT North America,Real Estate,
PMNA,PowerShares MENA Frontier Countries,Equity,
PFI,PowerShares Dynamic Financials,Equity,
ITB,iShares Dow Jones US Home Construction,Real Estate,
FTY,iShares FTSE NAREIT Real Estate 50,Real Estate,
RXL,Ultra Health Care ProShares,Equity,
QCLN,First Trust NASDAQ Clean Edge Green Engy,Equity,
PTJ,PowerShares Dynamic Healthcare Services,Equity,
STH,Claymore/Sabrient Stealth,Equity,
XLF,Financial Select Sector SPDR,Equity,
SDP,UltraShort Utilities ProShares,Leveraged,
IYR,iShares Dow Jones US Real Estate,Real Estate,
DJP,iPath Dow Jones-AIG Commodity Idx TR ETN,Commodity,
FRI,First Trust S&P REIT,Real Estate,
XRO,Claymore/Zacks Sector Rotation,Equity,
REZ,iShares FTSE NAREIT Resid Plus Cp Idx,Real Estate,
VNQ,Vanguard REIT Index,Real Estate,
RHM,Rydex 2x S&P Select Sector Health Care,Leveraged,
RJA,ELEMENTS Rogers Intl Commodity Agri ETN,Commodity,
PEY,PowerShares HighYield Dividend Achievers,Equity,
IEZ,iShares Dow Jones US Oil Equipment Index,Equity,
PZI,PowerShares Zacks Micro Cap,Equity,
PXJ,PowerShares Dynamic Oil & Gas Services,Equity,
BOM,PowerShares DB Base Metals Dble Shrt ETN,Commodity,
OIH,Oil Services HOLDRs,Equity,
RKH,Regional Bank HOLDRs,Equity,
RWR,SPDR Dow Jones REIT,Real Estate,
BHH,B2B Internet HOLDRs,Equity,
EFZ,Short MSCI EAFE ProShares,Equity,
MES,Market Vectors Gulf States ETF,Equity,
PIV,PowerShares Value Line Timeliness Select,Equity,
UGA,United States Gasoline,Commodity,
RJI,ELEMENTS Rogers Intl Commodity ETN,Commodity,
DXD,UltraShort Dow30 ProShares,Leveraged,
UCC,Ultra Consumer Services ProShares,Leveraged,
DBO,PowerShares DB Oil,Commodity,
FVL,First Trust Value Line 100 ETF,Equity,
PYH,PowerShares Value Line Industry Rotation,Equity,
UBC,E-TRACS UBS Bloomberg CMCI Livestock ETN,Commodity,
DGZ,PowerShares DB Gold Short ETN,Commodity,
KBE,SPDR KBW Bank,Equity,
DBC,PowerShares DB Commodity Index Tracking,Commodity,
UGE,Ultra Consumer Goods ProShares,Equity,
UKF,Ultra Russell1000 Growth ProShares,Equity,
SFK,UltraShort Russell1000 Growth ProShares,Equity,
ICF,iShares Cohen & Steers Realty Majors,Real Estate,
RSW,Rydex Inverse 2x S&P 500,Inverse,
FIO,iShares FTSE NAREIT Industrl/Offc Cp Idx,Real Estate,
JJG,iPath DJ AIG Grains TR Sub-Idx ETN,Commodity,
JJU,iPath DJ AIG Aluminum TR Sub-Idx ETN,Commodity,
SIJ,UltraShort Industrials ProShares,Leveraged,
DDM,Ultra Dow30 ProShares,Leveraged,
GSC,GS Connect S&P GSCI Enh Commodity TR ETN,Commodity,
PBW,PowerShares WilderHill Clean Energy,Equity,
RTL,iShares FTSE NAREIT Retail Cp Idx,Real Estate,
USL,United States 12 Month Oil,Commodity,
SDS,UltraShort S&P500 ProShares,Leveraged,
UKW,Ultra Russell MidCap Growth ProShares,Leveraged,
DBE,PowerShares DB Energy,Commodity,
COW,iPath DJ AIG Livestock TR Sub-Idx ETN,Commodity,
DPU,PowerShares DB Commodity Long ETN,Commodity,
SCC,UltraShort Consumer Services ProShares,Leveraged,
IAT,iShares Dow Jones US Regional Banks,Equity,
UPW,Ultra Utilities ProShares,Leveraged,
RMM,Rydex 2x S&P MidCap 400,Leveraged,
RSU,Rydex 2x S&P 500,Leveraged,
OLO,PowerShares DB Crude Oil Long ETN,Commodity,
MVV,Ultra MidCap400 ProShares,Leveraged,
SEA,Claymore/Delta Global Shipping,Equity,
BDD,PowerShares DB Base Metals Dble Long ETN,Leveraged,
SSO,Ultra S&P500 ProShares,Leveraged,
GRU,ELEMENTS MLCX Grains Index TR ETN,Commodity,
KRE,SPDR KBW Regional Banking,Equity,
LTL,Ultra Telecommunications ProShares,Leveraged,
SEF,Short Financials ProShares,Inverse,
GRN,iPath Global Carbon ETN,Absolute,
GEX,Market Vectors Glb Alternatve Energy ETF,Equity,
PJB,PowerShares Dynamic Banking,Equity,
ICLN,iShares S&P Global Clean Energy Index,Equity,
UKK,Ultra Russell2000 Growth ProShares,Leveraged,
SDD,UltraShort SmallCap600 ProShares,Leveraged,
UBN,E-TRACS UBS Bloomberg CMCI Energy ETN,Commodity,
SJF,UltraShort Russell1000 Value ProShares,Leveraged,
PSP,PowerShares Listed Private Equity,Equity,
UVU,Ultra Russell MidCap Value ProShares,Leveraged,
DAG,PowerShares DB Agriculture Dble Long ETN,Commodity,
UVG,Ultra Russell1000 Value ProShares,Equity,
GSG,iShares S&P GSCI Commodity-Indexed Trust,Commodity,
RMS,Rydex Inverse 2x S&P MidCap 400,Leveraged,
RRY,Rydex 2x Russell 2000,Leveraged,
SDK,UltraShort Russell MidCap Gr ProShares,Leveraged,
SJL,UltraShort Russell MidCap Val ProShares,Leveraged,
RRZ,Rydex Inverse 2x Russell 2000,Leveraged,
UXI,Ultra Industrials ProShares,Leveraged,
SKK,UltraShort Russell2000 Growth ProShares,Leveraged,
UHN,United States Heating Oil,Commodity,
GSP,iPath S&P GSCI Total Return Index ETN,Commodity,
SAA,Ultra S&P SmallCap600 ProShares,Leveraged,
TLL,UltraShort Telecommunications ProShares,Leveraged,
UWM,Ultra Russell2000 ProShares,Leveraged,
MZZ,UltraShort MidCap400 ProShares,Leveraged,
RTW,Rydex Inverse 2x S&P Select Sector Tech,Leveraged,
RJN,ELEMENTS Rogers Intl Commodity Engy ETN,Commodity,
QID,UltraShort QQQ ProShares,Leveraged,
TWM,UltraShort Russell2000 ProShares,Leveraged,
UVT,Ultra Russell2000 Value ProShares,Leveraged,
KWT,Market Vectors Solar Energy ETF,Equity,
EWV,UltraShort MSCI Japan ProShares,Leveraged,
SJH,UltraShort Russell2000 Value ProShares,Leveraged,
TAN,Claymore/MAC Global Solar Energy,Equity,
REA,Rydex 2x S&P Select Sector Energy,Leveraged,
UYM,Ultra Basic Materials ProShares,Leveraged,
DIG,Ultra Oil & Gas ProShares,Leveraged,
REW,UltraShort Technology ProShares,Leveraged,
JJE,iPath DJ AIG Energy TR Sub-Idx ETN,Commodity,
USO,United States Oil,Commodity,
EUM,Short MSCI Emerging Mkts ProShares,Inverse,
DZZ,PowerShares DB Gold Double Short ETN,Leveraged,
OIL,iPath S&P GSCI Crude Oil Ttl Ret Idx ETN,Commodity,
DYY,PowerShares DB Commodity Dble Long ETN,Leveraged,
DUG,UltraShort Oil & Gas ProShares,Leveraged,
REC,Rydex Inverse 2x S&P Select Sector Engy,Leveraged,
EFU,UltraShort MSCI EAFE ProShares,Leveraged,
SSG,UltraShort Semiconductor ProShares,Leveraged,
SMN,UltraShort Basic Materials ProShares,Leveraged,
GAZ,iPath DJ AIG Natural Gas TR Sub-Idx ETN,Commodity,
UNG,United States Natural Gas,Commodity,
UYG,Ultra Financials ProShares,Leveraged,
RFL,Rydex 2x S&P Select Sector Financial,Leveraged,
URE,Ultra Real Estate ProShares,Leveraged,
SKF,UltraShort Financials ProShares,Leveraged,
RFN,Rydex Inverse 2x S&P Select Sector Fincl,Leveraged,
SRS,UltraShort Real Estate ProShares,Leveraged,
EEV,UltraShort MSCI Emerging Mkts ProShares,Leveraged,
FXP,UltraShort FTSE/Xinhua China25 Proshares,Leveraged,
AGQ,Ultra Silver ProShares,Leveraged,
AGZ,iShares Barclays Agency Bond,Bond,
AMJ,JPMorgan Alerian MLP Index ETN,Equity,
AOA,iShares S&P Aggressive Allocation,Diversified,
AOK,iShares S&P Conservative Allocation,Diversified,
AOM,iShares S&P Moderate Allocation,Diversified,
AOR,iShares S&P Growth Allocation,Diversified,
BGU,Direxion Daily Large Cap Bull 3X Shares,Leveraged,
BGZ,Direxion Daily Large Cap Bear 3X Shares,Leveraged,
BRF,Market Vectors Brazil Small-Cap ETF,Equity,
BWZ,SPDR Barclays Cap S/T Intl Treasury Bond,Bond,
BZQ,UltraShort MSCI Brazil ProShares,Leveraged,
CEW,WisdomTree Dreyfus Emerging Currency,Currency,
CMD,UltraShort DJ-AIG Commodity ProShares,Leveraged,
CSM,ProShares Credit Suisse 130/30,Equity,
CWB,SPDR Barclays Capital Convertible Bond,Equity,
DMM,MacroShares Major Metro Housing Down,Real Estate,
DPK,Direxion Daily Dev Mkts Bear 3X Shrs,Leveraged,
DRN,Direxion Daily Real Estate Bull 3X Shrs,Leveraged,
DRV,Direxion Daily Real Estate Bear 3X Shrs,Leveraged,
DZK,Direxion Daily Dev Mkts Bull 3X Shrs,Leveraged,
EDC,Direxion Daily Emrg Mkts Bull 3X Shares,Leveraged,
EDZ,Direxion Daily Emrg Mkts Bear 3X Shares,Leveraged,
EEG,EGS DJ Emerging Mkts Titans Composite,Equity,
EEO,EGS DJ Emerging Mkts Energy Titans,Equity,
EET,Ultra MSCI Emerging Mkts ProShares,Leveraged,
EFO,Ultra MSCI EAFE ProShares,Leveraged,
EMIF,iShares S&P Emerging Mkts Infrastructure,Equity,
EMT,EGS DJ Emerging Mkts Met & Mining Titans,Equity,
EPU,iShares MSCI All Peru Capped Index,Equity,
EPV,UltraShort MSCI Europe ProShares,Leveraged,
EQL,ALPS Equal Sector Weight ETF,Equity,
ERX,Direxion Daily Energy Bull 3X Shares,Leveraged,
ERY,Direxion Daily Energy Bear 3X Shares,Leveraged,
EUO,UltraShort Euro ProShares,Leveraged,
EZJ,Ultra MSCI Japan ProShares,Leveraged,
FAA,Claymore/NYSE Arca Airline,Equity,
FAS,Direxion Daily Financial Bull 3X Shares,Leveraged,
FAZ,Direxion Daily Financial Bear 3X Shares,Leveraged,
FLM,First Trust ISE Glbl Engnrg & Const Idx,Equity,
GLL,UltraShort Gold ProShares,Leveraged,
GVT,Grail American Beacon Large Value ETF,Equity,
GXG,Global X/InterBolsa FTSE Colombia 20 ETF,Equity,
HYD,Market Vectors High-Yield Muni ETF,Bond,
IDX,Market Vectors Indonesia ETF,Equity,
IGOV,iShares S&P/Citi Intl Treasury Bond,Bond,
ISHG,iShares S&P/Citi 1-3 Yr Intl Treasury Bd,Bond,
ITR,SPDR Barclays Capital Interm Credit Bond,Bond,
JPX,UltraShort MSCI Pacific ex-Jpn ProShares,Leveraged,
JVS,JETS DJ Islamic Market Intl Index,Equity,
KME,SPDR KBW Mortgage Finance,Equity,
LWC,SPDR Barclays Capital Long Credit Bond,Bond,
MBG,SPDR Barclays Cap Mortgage Backed Bond,Bond,
MCRO,IQ Hedge Macro Tracker ETF,Absolute,
MWJ,Direxion Daily Mid Cap Bull 3X Shares,Leveraged,
MWN,Direxion Daily Mid Cap Bear 3X Shares,Leveraged,
PAGG,PowerShares Global Agriculture,Commodity,
PBTQ,PowerShares Global Biotech,Commodity,
PKOL,PowerShares Global Coal,Commodity,
PRB,Market Vectors Pre-Refunded Muni ETF,Bond,
PSAU,PowerShares Global Gold & Prec Metals,Commodity,
PSR,PowerShares Active U.S. Real Estate,Real Estate,
PSTL,PowerShares Global Steel,Commodity,
PTRP,PowerShares Global Progressive Transport,Equity,
PXR,PowerShares Emerg Mks Infrastructure,Equity,
QAI,IQ Hedge Multi-Strategy Tracker ETF,Absolute,
ROI,WisdomTree LargeCap Growth,Equity,
RTR,RevenueShares ADR,Equity,
RWV,RevenueShares Navallier Overall A-100,Equity,
RWW,RevenueShares Financials Sector,Equity,
SCO,UltraShort DJ-AIG Crude Oil ProShares,Leveraged,
SIVR,ETFS Silver Trust,Commodity,
SMK,UltraShort MSCI Mexico InvstMt ProShares,Leveraged,
SPXU,UltraPro Short S&P500 ProShares,Leveraged,
SUB,iShares S&P Short Term National Muni Bd,Bond,
TGR,iShares S&P Target Date Retirement Inc,Diversified,
TMF,Direxion Daily 30 Yr Trs Bull 3X Shares,Leveraged,
TMV,Direxion Daily 30 Yr Trs Bear 3X Shares,Leveraged,
TNA,Direxion Daily Small Cap Bull 3X Shares,Leveraged,
TUZ,PIMCO 1-3 Year US Treasury Index ETF,Bond,
TWQ,UltraShort Russell3000 ProShares,Leveraged,
TYD,Direxion Daily 10 Yr Trs Bull 3X Shares,Leveraged,
TYH,Direxion Daily Technology Bull 3X Shares,Leveraged,
TYO,Direxion Daily 10 Yr Trs Bear 3X Shares,Leveraged,
TYP,Direxion Daily Technology Bear 3X Shares,Leveraged,
TZA,Direxion Daily Small Cap Bear 3X Shares,Leveraged,
TZD,iShares S&P Target Date 2010,Diversified,
TZE,iShares S&P Target Date 2015,Diversified,
TZG,iShares S&P Target Date 2020,Diversified,
TZI,iShares S&P Target Date 2025,Diversified,
TZL,iShares S&P Target Date 2030,Diversified,
TZO,iShares S&P Target Date 2035,Diversified,
TZV,iShares S&P Target Date 2040,Diversified,
UCD,Ultra DJ-AIG Commodity ProShares,Leveraged,
UCO,Ultra DJ-AIG Crude Oil ProShares,Leveraged,
UGL,Ultra Gold ProShares,Leveraged,
ULE,Ultra Euro ProShares,Leveraged,
UMM,MacroShares Major Metro Housing Up,Real Estate,
UPRO,UltraPro S&P500 ProShares,Leveraged,
UWC,Ultra Russell3000 ProShares,Leveraged,
VSS,Vanguard FTSE All-Wld ex-US SmCp Idx Ins,Equity,
VXX,iPath S&P 500 VIX Short-Term Futures ETN,Absolute,
VXZ,iPath S&P 500 VIX Mid-Term Futures ETN,Absolute,
XPP,Ultra FTSE/Xinhua China 25 ProShares,Leveraged,
XRU,CurrencyShares Russian Ruble Trust,Currency,
YCL,Ultra Yen ProShares,Leveraged,
YCS,UltraShort Yen ProShares,Leveraged,
ZSL,UltraShort Silver ProShares,Leveraged,
